,ALPHA_M,Field,GLAT,GLON,M_H,VGSR,X,Y,Z,pmbb,pmll,pmll_gsr,shdist,zbins
308609,-0.0030479506,016+02          ,1.91440365373,16.0586132665,0.24198484,127.34987555934642,5.1062675,1.4698588,0.17759885,-1.5596000758107604,-4.327559626960647,1.5724403730393535,5.3165774136,5.0
308622,0.14572605,003-05-O        ,-5.24973816904,2.8828214954,0.056890853,-20.038965201455795,8.607596,0.4334609,-0.79190224,-1.1134613011648749,-7.222336915872122,-1.3223369158721212,8.65480878847,3.0
308623,0.004898764,014+00          ,0.760854633064,13.9537748569,0.40982354,88.29418914247859,4.405917,1.0947479,0.06028308,-0.8248923198062419,-5.612219541274174,0.2877804587258259,4.54028780122,5.0
308629,-0.00536995,004-04          ,-4.34562873525,4.57080015458,0.45519486,-19.90437582154117,4.312687,0.34478176,-0.3287788,-1.0303568127924039,-1.8503994969744313,4.0496005030255695,4.33892113638,4.0
308630,0.066306055,004-04          ,-4.64759228657,4.0091661602,-0.20742515,125.45033848836188,10.285963,0.7209258,-0.83825547,-3.692184352214071,-5.801418878757176,0.09858112124282403,10.3452133299,2.0
308631,-0.022190949,004-04          ,-4.28528564072,4.68360814784,0.14477485,-67.53619341742093,9.475419,0.7762993,-0.7124064,1.3150887287441289,-4.999107369706014,0.9008926302939866,9.53382032702,3.0
308632,0.17933574,350-12          ,-11.876866998,-10.067697324999983,-0.4028739,-207.33845219909458,9.176498,-1.6292416,-1.9601161,-1.4196037953369744,-4.845951940895102,1.0540480591048986,9.52389638319,0.0
308637,0.20103605,003-05          ,-5.01810349968,3.32789133003,-0.15284514,-160.03677047709098,7.9750795,0.46374124,-0.70146304,2.309926676230087,-5.758743389625392,0.14125661037460802,8.01928933405,3.0
308638,-0.0013219491,004-04          ,-4.55873599737,4.18536149628,0.10252285,123.5430788811492,10.560211,0.77278876,-0.8442676,-1.0404838076951888,-5.852957321831953,0.0470426781680473,10.6220546578,2.0
308651,-0.071325704,002-06-O        ,-5.28006986939,2.85009982773,0.31571573,126.81747611665203,6.6097507,0.3290693,-0.61161566,-2.6857661573360767,-5.066640672619088,0.8333593273809123,6.64613936108,3.0
308654,-0.015892949,014+00          ,0.459235599898,13.4304268033,0.12347986,115.73775570051862,4.85048,1.1582744,0.039963163,1.544275175880562,-3.5661161152417162,2.333883884758284,4.98701864848,5.0
308661,0.15410605,003-05          ,-5.56456847127,2.32459060042,0.41297486,-10.990683105749904,6.656322,0.2702117,-0.6490464,-1.1333608772046309,-5.176458150911508,0.723541849088492,6.6933471628,3.0
308666,0.008046068,016+02          ,1.56291957593,15.4628499971,-0.038878158,152.8082389094901,5.434378,1.5032979,0.15383542,-1.0594429541125219,-1.3703041758813952,4.529695824118605,5.64057056982,5.0
308681,0.18880245,016+02          ,1.4150360543,15.2025680808,-0.15178123,97.949106822347,6.1673894,1.6759455,0.15786128,1.5563625668946282,-7.4692190820750195,-1.5692190820750191,6.39299652419,5.0
308693,0.00855305,004-04          ,-4.54183460421,4.26390682718,0.018141855,-0.6144165688178067,11.496163,0.85712695,-0.91576606,-0.35446742485876737,-8.849952576611646,-2.9499525766116452,11.5643882864,2.0
308694,0.23087604,004-04          ,-4.32604795796,4.6658700156,-0.33823514,39.81696799357479,7.654812,0.62475544,-0.58100504,2.5282367377278927,-4.99637316832893,0.9036268316710707,7.70220925159,3.0
308699,0.24416152,350-12          ,-12.0393141014,-10.350868015000003,-1.027674,-100.13144511968751,8.277355,-1.511839,-1.7945586,-3.3287354588539944,-7.287932828263483,-1.3879328282634829,8.60352877932,0.0
308703,0.19206682,350-12          ,-12.2318999658,-10.750757204000024,-0.5557789,-197.15606693684646,6.415673,-1.2181383,-1.4157139,-0.34750617444313725,-1.111025821648024,4.788974178351976,6.68198817654,1.0
